time,rentals
2017-10-10 04:00:00,14
2017-10-10 05:00:00,31
2017-10-10 06:00:00,68
2017-10-10 07:00:00,177
2017-10-10 08:00:00,334
2017-10-10 09:00:00,334
2017-10-10 10:00:00,255
2017-10-10 11:00:00,254
2017-10-10 12:00:00,323
2017-10-10 13:00:00,284
2017-10-10 14:00:00,327
2017-10-10 15:00:00,307
2017-10-10 16:00:00,298
2017-10-10 17:00:00,333
2017-10-10 18:00:00,423
2017-10-10 19:00:00,448
2017-10-10 20:00:00,452
2017-10-10 21:00:00,342
2017-10-10 22:00:00,315
2017-10-10 23:00:00,328
2017-10-11 00:00:00,202
2017-10-11 01:00:00,99
2017-10-11 02:00:00,57
2017-10-11 03:00:00,26
2017-10-11 04:00:00,23
2017-10-11 05:00:00,27
2017-10-11 06:00:00,85
2017-10-11 07:00:00,173
2017-10-11 08:00:00,337
2017-10-11 09:00:00,307
2017-10-11 10:00:00,277
2017-10-11 11:00:00,242
2017-10-11 12:00:00,293
2017-10-11 13:00:00,299
2017-10-11 14:00:00,351
2017-10-11 15:00:00,290
2017-10-11 16:00:00,296
2017-10-11 17:00:00,379
2017-10-11 18:00:00,460
2017-10-11 19:00:00,468
2017-10-11 20:00:00,490
2017-10-11 21:00:00,428
2017-10-11 22:00:00,363
2017-10-11 23:00:00,320
2017-10-12 00:00:00,230
2017-10-12 01:00:00,112
2017-10-12 02:00:00,67
2017-10-12 03:00:00,39
2017-10-12 04:00:00,26
2017-10-12 05:00:00,39
2017-10-12 06:00:00,100
2017-10-12 07:00:00,176
2017-10-12 08:00:00,368
2017-10-12 09:00:00,352
2017-10-12 10:00:00,287
2017-10-12 11:00:00,275
2017-10-12 12:00:00,308
2017-10-12 13:00:00,328
2017-10-12 14:00:00,348
2017-10-12 15:00:00,317
2017-10-12 16:00:00,315
2017-10-12 17:00:00,380
2017-10-12 18:00:00,455
2017-10-12 19:00:00,511
2017-10-12 20:00:00,491
2017-10-12 21:00:00,437
2017-10-12 22:00:00,412
2017-10-12 23:00:00,377
2017-10-13 00:00:00,273
2017-10-13 01:00:00,139
2017-10-13 02:00:00,82
2017-10-13 03:00:00,36
2017-10-13 04:00:00,25
2017-10-13 05:00:00,48
2017-10-13 06:00:00,90
2017-10-13 07:00:00,198
2017-10-13 08:00:00,366
2017-10-13 09:00:00,347
2017-10-13 10:00:00,287
2017-10-13 11:00:00,268
2017-10-13 12:00:00,342
2017-10-13 13:00:00,342
2017-10-13 14:00:00,364
2017-10-13 15:00:00,322
2017-10-13 16:00:00,339
2017-10-13 17:00:00,397
2017-10-13 18:00:00,440
2017-10-13 19:00:00,482
2017-10-13 20:00:00,503
2017-10-13 21:00:00,456
2017-10-13 22:00:00,425
2017-10-13 23:00:00,483
2017-10-14 00:00:00,386
2017-10-14 01:00:00,274
2017-10-14 02:00:00,195
2017-10-14 03:00:00,146
2017-10-14 04:00:00,94
2017-10-14 05:00:00,80
2017-10-14 06:00:00,55
2017-10-14 07:00:00,102
2017-10-14 08:00:00,194
2017-10-14 09:00:00,243
2017-10-14 10:00:00,274
2017-10-14 11:00:00,311
2017-10-14 12:00:00,291
2017-10-14 13:00:00,328
2017-10-14 14:00:00,299
2017-10-14 15:00:00,314
2017-10-14 16:00:00,373
2017-10-14 17:00:00,356
2017-10-14 18:00:00,357
2017-10-14 19:00:00,447
2017-10-14 20:00:00,510
2017-10-14 21:00:00,379
2017-10-14 22:00:00,366
2017-10-14 23:00:00,441
2017-10-15 00:00:00,343
2017-10-15 01:00:00,245
2017-10-15 02:00:00,171
2017-10-15 03:00:00,137
2017-10-15 04:00:00,115
2017-10-15 05:00:00,66
2017-10-15 06:00:00,42
2017-10-15 07:00:00,45
2017-10-15 08:00:00,74
2017-10-15 09:00:00,108
2017-10-15 10:00:00,166
2017-10-15 11:00:00,229
2017-10-15 12:00:00,310
2017-10-15 13:00:00,282
2017-10-15 14:00:00,234
2017-10-15 15:00:00,280
2017-10-15 16:00:00,304
2017-10-15 17:00:00,331
2017-10-15 18:00:00,309
2017-10-15 19:00:00,339
2017-10-15 20:00:00,261
2017-10-15 21:00:00,196
2017-10-15 22:00:00,283
2017-10-15 23:00:00,282
2017-10-16 00:00:00,132
2017-10-16 01:00:00,66
2017-10-16 02:00:00,32
2017-10-16 03:00:00,19
2017-10-16 04:00:00,22
2017-10-16 05:00:00,59
2017-10-16 06:00:00,72
2017-10-16 07:00:00,150
2017-10-16 08:00:00,278
2017-10-16 09:00:00,296
2017-10-16 10:00:00,239
2017-10-16 11:00:00,240
2017-10-16 12:00:00,289
2017-10-16 13:00:00,305
2017-10-16 14:00:00,293
2017-10-16 15:00:00,267
2017-10-16 16:00:00,314
2017-10-16 17:00:00,308
2017-10-16 18:00:00,395
2017-10-16 19:00:00,417
2017-10-16 20:00:00,349
2017-10-16 21:00:00,306
2017-10-16 22:00:00,265
2017-10-16 23:00:00,229
2017-10-17 00:00:00,148
2017-10-17 01:00:00,78
2017-10-17 02:00:00,50
2017-10-17 03:00:00,20
2017-10-17 04:00:00,19
2017-10-17 05:00:00,43
2017-10-17 06:00:00,71
2017-10-17 07:00:00,190
2017-10-17 08:00:00,331
2017-10-17 09:00:00,313
2017-10-17 10:00:00,291
2017-10-17 11:00:00,251
2017-10-17 12:00:00,330
2017-10-17 13:00:00,331
2017-10-17 14:00:00,299
2017-10-17 15:00:00,275
2017-10-17 16:00:00,328
2017-10-17 17:00:00,367
2017-10-17 18:00:00,429
2017-10-17 19:00:00,449
2017-10-17 20:00:00,441
2017-10-17 21:00:00,363
2017-10-17 22:00:00,380
2017-10-17 23:00:00,302
2017-10-18 00:00:00,215
2017-10-18 01:00:00,91
2017-10-18 02:00:00,59
2017-10-18 03:00:00,33
2017-10-18 04:00:00,17
2017-10-18 05:00:00,30
2017-10-18 06:00:00,85
2017-10-18 07:00:00,172
2017-10-18 08:00:00,302
2017-10-18 09:00:00,281
2017-10-18 10:00:00,269
2017-10-18 11:00:00,226
2017-10-18 12:00:00,315
2017-10-18 13:00:00,316
2017-10-18 14:00:00,318
2017-10-18 15:00:00,338
2017-10-18 16:00:00,341
2017-10-18 17:00:00,333
2017-10-18 18:00:00,386
2017-10-18 19:00:00,512
2017-10-18 20:00:00,463
2017-10-18 21:00:00,357
2017-10-18 22:00:00,346
2017-10-18 23:00:00,312
2017-10-19 00:00:00,206
2017-10-19 01:00:00,89
2017-10-19 02:00:00,56
2017-10-19 03:00:00,22
2017-10-19 04:00:00,18
2017-10-19 05:00:00,31
2017-10-19 06:00:00,88
2017-10-19 07:00:00,191
2017-10-19 08:00:00,374
2017-10-19 09:00:00,337
2017-10-19 10:00:00,293
2017-10-19 11:00:00,273
2017-10-19 12:00:00,322
2017-10-19 13:00:00,340
2017-10-19 14:00:00,335
2017-10-19 15:00:00,317
2017-10-19 16:00:00,355
2017-10-19 17:00:00,374
2017-10-19 18:00:00,453
2017-10-19 19:00:00,480
2017-10-19 20:00:00,521
2017-10-19 21:00:00,400
2017-10-19 22:00:00,375
2017-10-19 23:00:00,352
2017-10-20 00:00:00,280
2017-10-20 01:00:00,132
2017-10-20 02:00:00,71
2017-10-20 03:00:00,41
2017-10-20 04:00:00,31
2017-10-20 05:00:00,47
2017-10-20 06:00:00,84
2017-10-20 07:00:00,205
2017-10-20 08:00:00,350
2017-10-20 09:00:00,338
2017-10-20 10:00:00,292
2017-10-20 11:00:00,269
2017-10-20 12:00:00,341
2017-10-20 13:00:00,329
2017-10-20 14:00:00,358
2017-10-20 15:00:00,353
2017-10-20 16:00:00,340
2017-10-20 17:00:00,376
2017-10-20 18:00:00,442
2017-10-20 19:00:00,507
2017-10-20 20:00:00,547
2017-10-20 21:00:00,511
2017-10-20 22:00:00,424
2017-10-20 23:00:00,476
2017-10-21 00:00:00,397
